Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,296.4844562,287.0959429,218.7524602,188.4441125,270.1249402,261.7064776,238.2269442,247.0200041,280.1115508,284.9437634,298.5685731,284.1394274,295.2031362,274.3551488,295.5049369,276.3073792,242.689835,239.539029,271.8901464,237.0293115,279.6474216,239.3579508,232.9008829,247.3904968,269.6898692,197.9923168,221.502606
1,372.85882,357.1426577,365.0463655,374.0878225,360.8122689,369.961906,365.0202148,297.787251,343.341521,362.1534631,360.335579,387.6596973,361.5792352,365.7268961,366.6399389,344.5517581,342.2391758,375.6641987,326.8441157,404.2450058,347.1181986,345.4765613,358.5854105,352.4300493,356.2833276,354.4861259,363.160905
2,461.7370177,474.1311825,487.2886558,454.2507807,473.5732232,505.4699355,507.937243,488.8354675,486.7789345,518.6867972,474.7302961,507.5392661,519.9133848,505.1610745,524.4011966,534.2589377,597.2836252,566.8437937,580.6932561,532.5068902,518.6412368,556.8916721,559.938311,546.2506781,539.368676,539.5832952,570.7570101
3,691.881146,702.5977623,658.8054837,686.8949276,640.8588339,730.9797444,667.0666387,654.6917034,700.2212447,728.7675301,689.6829027,721.0003938,693.266379,709.9910031,685.1937427,671.9018326,754.0870949,749.2174614,755.1466925,712.0961881,687.7426768,668.0270587,700.588507,680.3607202,708.9767681,738.184235,772.1405081
