Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,26.59377768,81.96844201,56.45804446,80.34596285,48.46035083,109.7938974,99.91914237,169.0225291,47.7356337,120.1898013,66.30532381,67.23969927,76.50992491,166.7804952,114.0509255,66.86426134,93.10483641,75.44430441,57.12478354,92.66693464,70.86298949,105.1742977,50.42472153,61.48475162,87.75915443,67.82634546,106.4173529
1,57.18824699,34.01053326,112.0417538,65.08149973,68.64806202,48.12061968,98.15751677,170.2597973,94.25191177,39.84517864,54.81196914,41.75474951,14.46900078,90.32931922,31.75634377,59.80479539,28.60448038,31.34267063,42.27320123,58.33785157,42.26232052,43.19463053,29.76670037,24.6969606,52.71680126,38.01700389,54.27330132
2,12.25550217,28.54067983,14.05685154,38.98694772,12.95943912,20.82136356,23.29208618,17.5603619,29.60994441,15.73593915,13.47315258,19.53302939,7.160458018,16.85092301,26.2109911,12.02290557,10.04314531,16.35125726,4.907435811,24.61925375,22.05542863,12.40176118,12.04087406,19.77913261,17.16614923,18.40496765,18.81835796
3,3.104916458,10.83172641,3.555860487,3.385808218,5.498343154,11.91840588,9.835211931,11.71125762,9.819996677,14.95453194,3.679729224,5.140826716,7.890430127,5.679607348,7.471145627,13.66784948,6.453775846,6.313630333,3.392145014,3.103150278,5.811039382,5.816751493,8.341526136,7.109035973,7.506233593,10.15523876,11.53156846
